Age Group,Ever Married,Gender,Graduated,ID,Martial Status,Profession,Spending Level,Spending Score,Age,Family Size,Work Experience
Young Adult,No,Female,Yes,462425,Single,Entertainment,Low Spender,Low,27,5,1
Middle-Aged,No,Female,Yes,464365,Single,Artist,Low Spender,Low,37,2,6
Senior,Yes,Male,No,467014,Married,Executive,Top Spender,High,69,4,0
Senior,Yes,Female,Yes,460191,Married,Lawyer,Top Spender,High,73,2,
Senior,Yes,Male,Yes,462819,Married,Lawyer,Top Spender,High,83,3,1
Middle-Aged,Yes,Female,Yes,467937,Married,Entertainment,Low Spender,Low,30,3,1
Young Adult,No,Male,No,464873,Single,Healthcare,Low Spender,Low,22,5,0
Middle-Aged,Yes,Male,Yes,462772,Married,Artist,Low Spender,Low,40,3,3
Middle-Aged,Yes,Male,No,464484,Married,Doctor,Low Spender,Low,46,2,1
Senior,Yes,Female,Yes,467075,Married,Lawyer,Top Spender,High,79,2,0
Young Adult,No,Male,No,461780,Single,Entertainment,Low Spender,Low,28,3,0
Senior,Yes,Male,No,463505,Married,Doctor,Low Spender,Average,51,4,1
Middle-Aged,Yes,Male,Yes,460459,Married,Executive,Low Spender,Average,35,2,4
Young Adult,Yes,Female,Yes,464431,Married,Healthcare,Low Spender,Average,29,2,1
Senior,Yes,Male,Yes,459114,Married,Artist,Low Spender,Average,55,4,6
Middle-Aged,No,Female,Yes,459524,Single,Artist,Low Spender,Low,42,3,1
Middle-Aged,No,Female,No,460848,Single,Healthcare,Low Spender,Low,31,3,1
Senior,Yes,Male,No,466943,Married,Artist,Low Spender,Low,56,2,1
Young Adult,No,Male,Yes,465848,Single,Healthcare,Low Spender,Low,27,3,0
Senior,Yes,Female,No,466750,Married,Lawyer,Top Spender,High,67,4,1
Senior,Yes,Male,,466450,Married,Artist,Low Spender,Average,75,2,0
Middle-Aged,Yes,Female,Yes,462894,Married,Artist,Low Spender,Low,33,1,0
Middle-Aged,Yes,Female,Yes,464043,Married,Engineer,Low Spender,Average,49,4,0
Senior,Yes,Male,Yes,461018,Married,Lawyer,Low Spender,Low,82,2,1
Middle-Aged,Yes,Female,No,466230,Married,Engineer,Low Spender,Low,39,3,0
Young Adult,No,Male,No,460156,Single,Healthcare,Low Spender,Low,18,3,
Young Adult,Yes,Male,No,462257,Married,Healthcare,Top Spender,High,29,2,1
Young Adult,No,Male,Yes,460810,Single,Healthcare,Low Spender,Low,22,2,14
Senior,Yes,Male,Yes,466416,Married,Entertainment,Low Spender,Average,53,2,1
Middle-Aged,Yes,Male,Yes,463740,Married,Artist,Low Spender,Low,40,1,1
Young Adult,,Male,Yes,461393,Single,Doctor,Low Spender,Low,26,2,0
Senior,Yes,Male,Yes,459237,Married,Executive,Low Spender,Low,81,,1
Senior,Yes,Male,No,460051,Married,Lawyer,Top Spender,High,77,2,1
Middle-Aged,No,Male,Yes,466899,Single,Artist,Low Spender,Low,43,2,1
Senior,Yes,Male,Yes,459788,Married,Healthcare,Low Spender,Average,62,4,4
Middle-Aged,No,Female,Yes,461774,Single,Artist,Low Spender,Low,47,1,1
Young Adult,No,Male,No,467694,Single,Healthcare,Low Spender,Low,19,5,8
Middle-Aged,No,Female,Yes,462823,Single,Artist,Low Spender,Low,43,1,2
Young Adult,No,Male,Yes,466501,Single,Healthcare,Low Spender,Low,28,3,6
Middle-Aged,Yes,Male,No,463142,Married,Doctor,Low Spender,Low,49,6,0
Middle-Aged,No,Female,Yes,459821,Single,Artist,Low Spender,Low,45,1,1
Middle-Aged,Yes,Female,Yes,466172,Married,Artist,Low Spender,Average,42,3,0
Middle-Aged,Yes,Female,Yes,462860,Married,Homemaker,Low Spender,Average,35,,7
Middle-Aged,Yes,Male,Yes,467214,Married,Artist,Low Spender,Low,49,3,1
Middle-Aged,Yes,Female,Yes,459163,Married,Artist,Low Spender,Average,41,6,1
Middle-Aged,No,Female,Yes,462767,Single,Artist,Low Spender,Low,42,1,
Middle-Aged,Yes,Male,Yes,459837,Married,Artist,Low Spender,Average,38,2,1
Senior,Yes,Male,Yes,465621,Married,Artist,Low Spender,Average,57,5,0
Senior,Yes,Male,No,461058,Married,Artist,Low Spender,Low,83,1,1
Middle-Aged,No,Male,Yes,466954,Single,Artist,Low Spender,Low,46,2,0
Middle-Aged,No,Male,Yes,461435,Single,Artist,Low Spender,Low,40,3,0
Young Adult,No,Female,No,462274,Single,Engineer,Low Spender,Low,27,1,0
Middle-Aged,No,Female,No,463160,Single,Marketing,Low Spender,Low,32,4,
Middle-Aged,Yes,Male,Yes,466220,Married,Healthcare,Low Spender,Low,41,1,0
Middle-Aged,Yes,Male,Yes,465144,Married,Executive,Top Spender,High,50,4,4
Young Adult,No,Male,No,463805,Single,Doctor,Low Spender,Low,28,8,0
Senior,Yes,Female,No,462760,Married,Entertainment,Low Spender,Low,62,1,2
Middle-Aged,No,Female,Yes,465217,Single,Artist,Low Spender,Low,42,2,14
Senior,Yes,Male,Yes,463889,Married,Entertainment,Low Spender,Average,59,3,1
Middle-Aged,No,Male,No,459165,Single,Homemaker,Low Spender,Low,30,1,13
Senior,Yes,Male,Yes,460818,Married,Artist,Low Spender,Average,56,2,0
Young Adult,No,Female,No,461116,Single,Healthcare,Low Spender,Low,20,,0
Middle-Aged,No,Male,Yes,465279,Single,Artist,Low Spender,Low,40,1,8
Senior,Yes,Male,Yes,464382,Married,Lawyer,Top Spender,High,75,2,10
Young Adult,No,Male,No,464075,Single,Doctor,Low Spender,Low,25,3,7
Senior,Yes,Female,Yes,466244,Married,Engineer,Low Spender,Low,53,1,0
Middle-Aged,No,Female,Yes,459344,Single,Artist,Low Spender,Low,37,1,0
Middle-Aged,Yes,Male,No,461606,Married,Executive,Low Spender,Average,41,4,7
Senior,Yes,Female,Yes,461155,Married,Artist,Low Spender,Low,51,2,1
Young Adult,No,Male,No,460944,Single,Healthcare,Low Spender,Low,22,1,
Young Adult,Yes,Female,No,462499,Married,Artist,Low Spender,Average,29,2,
Middle-Aged,No,Male,Yes,466981,Single,Artist,Low Spender,Low,40,1,0
Middle-Aged,Yes,Male,No,461784,Married,Doctor,Top Spender,High,35,4,1
Senior,No,Female,No,465340,Single,Artist,Low Spender,Low,60,1,5
Middle-Aged,Yes,Male,Yes,464847,Married,Artist,Low Spender,Average,48,2,4
Middle-Aged,No,Female,Yes,465231,Single,Artist,Low Spender,Low,40,1,2
Senior,Yes,Male,No,460379,Married,Lawyer,Low Spender,Low,75,1,1
Middle-Aged,No,Male,Yes,466935,Single,Healthcare,Low Spender,Low,33,1,0
Middle-Aged,Yes,Female,No,462875,Married,Marketing,Low Spender,Low,38,2,
Middle-Aged,No,Female,Yes,462652,Single,Doctor,Low Spender,Low,38,3,3
Middle-Aged,No,Male,No,459835,Single,Artist,Low Spender,Low,32,1,0
Young Adult,No,Male,Yes,467313,Single,Healthcare,Low Spender,Low,22,3,0
Middle-Aged,Yes,Male,Yes,464540,Married,Artist,Low Spender,Average,47,2,0
Middle-Aged,No,Female,Yes,467347,Single,Entertainment,Low Spender,Low,41,1,1
Middle-Aged,Yes,Female,No,463294,Married,Artist,Low Spender,Average,38,2,1
Senior,Yes,Male,Yes,463626,Married,Lawyer,Top Spender,High,79,2,0
Middle-Aged,No,Male,No,463725,Single,Healthcare,Low Spender,Low,42,4,4
Senior,Yes,Female,Yes,462179,Married,Artist,Low Spender,Low,72,2,7
Middle-Aged,Yes,Female,Yes,463406,Married,Artist,Low Spender,Average,50,3,1
Middle-Aged,Yes,Male,No,464733,Married,Entertainment,Low Spender,Average,49,3,10
Middle-Aged,Yes,Female,Yes,465540,Married,Engineer,Low Spender,Average,43,4,0
Senior,Yes,Female,Yes,466416,Married,Lawyer,Top Spender,High,88,4,0
Middle-Aged,Yes,Male,Yes,461467,Married,Marketing,Low Spender,Low,49,1,1
Middle-Aged,Yes,Male,No,466737,Married,Executive,Top Spender,High,48,5,0
Middle-Aged,Yes,Male,Yes,461599,Married,Artist,Low Spender,Average,46,2,0
Senior,Yes,Male,Yes,462027,Married,Lawyer,Low Spender,Low,67,5,4
Senior,Yes,Female,Yes,465459,Married,Doctor,Low Spender,Low,62,3,1
Young Adult,No,Female,Yes,463397,Single,Artist,Low Spender,Low,27,4,1
Middle-Aged,Yes,Male,Yes,466443,Married,Entertainment,Low Spender,Low,41,2,0
Senior,Yes,Male,No,462724,Married,Lawyer,Low Spender,Average,67,5,1
Middle-Aged,No,Female,Yes,467491,Single,Engineer,Low Spender,Low,39,1,3
Middle-Aged,No,Male,Yes,460542,Single,Marketing,Low Spender,Low,33,3,0
Middle-Aged,Yes,Female,No,462544,Married,Doctor,Low Spender,Low,48,1,1
Middle-Aged,No,Female,No,467305,Single,Doctor,Low Spender,Low,30,3,
Senior,Yes,Male,Yes,462105,Married,Lawyer,Top Spender,High,52,4,0
Middle-Aged,Yes,Female,Yes,462634,Married,Artist,Low Spender,Average,35,4,1
Young Adult,No,Male,No,463206,Single,Healthcare,Low Spender,Low,22,4,1
Middle-Aged,No,Female,Yes,465847,Single,Artist,Low Spender,Low,41,1,0
Middle-Aged,Yes,Male,Yes,460916,Married,Artist,Low Spender,Average,43,5,5
Middle-Aged,Yes,Female,No,465917,Married,Engineer,Low Spender,Low,40,1,1
Middle-Aged,Yes,Female,Yes,464902,Married,Entertainment,Low Spender,Average,47,2,0
Senior,Yes,Male,Yes,464734,Married,Doctor,Top Spender,High,78,2,2
Senior,Yes,Male,Yes,466549,Married,Entertainment,Low Spender,Low,59,2,1
Middle-Aged,No,Female,Yes,463788,Single,Entertainment,Low Spender,Low,35,1,4
Senior,Yes,Male,No,461133,Married,Marketing,Low Spender,Average,53,4,1
Middle-Aged,Yes,Male,Yes,462761,Married,Executive,Top Spender,High,40,4,12
Young Adult,No,Female,No,460440,Single,Entertainment,Low Spender,Low,25,3,1
Young Adult,No,Male,No,459272,Single,Healthcare,Low Spender,Low,19,2,
Young Adult,No,Male,Yes,461221,Single,Healthcare,Low Spender,Low,29,5,1
Middle-Aged,Yes,Female,Yes,465411,Married,Engineer,Low Spender,Average,37,5,9
Middle-Aged,Yes,Female,No,467905,Married,Entertainment,Low Spender,Low,35,1,0
Middle-Aged,Yes,Male,No,463153,Married,Doctor,Low Spender,Low,39,3,1
Senior,Yes,Male,Yes,465756,Married,Artist,Low Spender,Average,56,2,1
Senior,Yes,Female,No,466141,Married,Lawyer,Top Spender,High,89,2,0
Senior,Yes,Female,No,467798,Married,Lawyer,Top Spender,High,83,2,0
Middle-Aged,No,Male,Yes,462055,Single,Artist,Low Spender,Low,35,2,0
Middle-Aged,Yes,Male,No,465694,Married,Doctor,Low Spender,Low,31,5,1
Middle-Aged,Yes,Female,No,463438,Married,Executive,Low Spender,Average,45,2,0
Senior,Yes,Female,Yes,459997,Married,Entertainment,Low Spender,Low,61,1,5
Young Adult,Yes,Female,No,467880,Married,Healthcare,Low Spender,Low,28,3,0
Middle-Aged,Yes,Male,Yes,467874,Married,Doctor,Low Spender,Low,47,2,0
Middle-Aged,Yes,Male,Yes,467555,Married,Executive,Low Spender,Average,46,3,
Middle-Aged,Yes,Female,No,464667,Married,Artist,Low Spender,Average,49,4,
Young Adult,Yes,Male,No,462552,Married,Healthcare,Low Spender,Average,23,5,1
Middle-Aged,Yes,Female,No,463860,Married,Marketing,Top Spender,High,49,4,
Young Adult,No,Male,No,463094,Single,Healthcare,Low Spender,Low,19,4,9
Middle-Aged,Yes,Male,Yes,460496,Married,Artist,Low Spender,Low,39,4,
Senior,No,Male,Yes,463404,Single,Artist,Low Spender,Low,53,1,0
Young Adult,No,Male,No,462313,Single,Healthcare,Low Spender,Low,25,4,14
Young Adult,No,Female,Yes,459262,Single,Doctor,Low Spender,Low,29,1,1
Middle-Aged,Yes,Female,Yes,463946,Married,Engineer,Low Spender,Average,50,5,
Middle-Aged,Yes,Female,No,464201,Married,Lawyer,Low Spender,Average,47,2,7
Young Adult,No,Female,No,459367,Single,Healthcare,Low Spender,Low,18,1,1
Middle-Aged,Yes,Male,No,463561,Married,Homemaker,Low Spender,Low,35,1,
Young Adult,No,Male,No,464725,Single,Doctor,Low Spender,Low,19,5,1
Senior,Yes,Male,Yes,459461,Married,Artist,Low Spender,Low,80,1,
Senior,No,Female,Yes,459743,Single,Artist,Low Spender,Low,52,1,3
Young Adult,No,Female,Yes,462018,Single,Engineer,Low Spender,Low,27,7,1
Middle-Aged,Yes,Male,No,462595,Married,Executive,Top Spender,High,32,2,9
Middle-Aged,No,Female,No,467631,Single,Marketing,Low Spender,Low,37,1,6
Senior,Yes,Female,Yes,466573,Married,Artist,Low Spender,Average,52,2,1
Young Adult,No,Female,Yes,462273,Single,Artist,Low Spender,Low,25,1,14
Senior,Yes,Male,No,466112,Married,Executive,Top Spender,High,66,3,
Senior,Yes,Male,No,460566,Married,Executive,Top Spender,High,76,2,1
Senior,Yes,Male,Yes,466224,Married,Doctor,Low Spender,Low,86,,1
Middle-Aged,No,Female,Yes,459513,Single,Artist,Low Spender,Low,48,2,5
Young Adult,No,Male,Yes,464821,Single,Engineer,Low Spender,Low,29,1,7
Middle-Aged,Yes,Male,No,463548,Married,Executive,Top Spender,High,42,4,1
Senior,Yes,Male,Yes,466235,Married,Entertainment,Low Spender,Average,68,3,4
Middle-Aged,Yes,Male,No,467325,Married,Engineer,Low Spender,Low,43,3,9
Middle-Aged,No,Male,No,467962,Single,Doctor,Low Spender,Low,31,4,0
Young Adult,No,Female,No,460203,Single,Healthcare,Low Spender,Low,28,4,0
Senior,Yes,Female,No,463515,Married,Artist,Top Spender,High,53,2,6
Middle-Aged,No,Male,Yes,459186,Single,Executive,Low Spender,Low,45,7,0
Middle-Aged,No,Female,No,460301,Single,Entertainment,Low Spender,Low,32,4,1
Senior,Yes,Male,Yes,460721,Married,Entertainment,Low Spender,Low,52,2,4
Middle-Aged,No,Female,No,463170,Single,Engineer,Low Spender,Low,40,1,6
Senior,No,Male,Yes,463535,Single,Executive,Low Spender,Low,53,4,0
Senior,Yes,Male,Yes,459606,Married,Artist,Low Spender,Average,60,4,1
Middle-Aged,Yes,Female,Yes,459615,Married,Doctor,Low Spender,Average,48,3,1
Young Adult,Yes,Male,No,466128,Married,Entertainment,Low Spender,Average,25,2,0
Senior,Yes,Male,Yes,459468,Married,Artist,Low Spender,Average,60,2,0
Senior,Yes,Male,Yes,463629,Married,Executive,Top Spender,High,62,3,0
Senior,Yes,Male,Yes,465722,Married,Executive,Low Spender,Low,63,2,1
Senior,Yes,Female,Yes,463175,Married,Engineer,Top Spender,High,60,5,
Young Adult,No,Male,No,462241,Single,Doctor,Low Spender,Low,25,6,0
Middle-Aged,Yes,Male,Yes,465014,Married,Artist,Top Spender,High,43,3,1
Middle-Aged,Yes,Female,Yes,463695,Married,Engineer,Low Spender,Low,35,4,0
Young Adult,No,Male,Yes,461703,Single,Healthcare,Low Spender,Low,29,1,2
Middle-Aged,No,Female,Yes,461409,Single,Artist,Low Spender,Low,46,1,0
Middle-Aged,No,Female,Yes,460885,Single,Artist,Low Spender,Low,39,1,2
Middle-Aged,,Female,Yes,463403,Single,Artist,Low Spender,Low,37,1,6
Middle-Aged,Yes,Male,Yes,460236,Married,Doctor,Low Spender,Average,39,2,2
Middle-Aged,Yes,Male,No,461402,Married,Entertainment,Low Spender,Average,47,4,1
Middle-Aged,No,Female,Yes,460755,Single,Homemaker,Low Spender,Low,38,3,
Middle-Aged,Yes,Female,Yes,466267,Married,Entertainment,Low Spender,Average,41,3,2
Middle-Aged,Yes,Female,Yes,459396,Married,Doctor,Low Spender,Low,38,1,6
Middle-Aged,No,Female,Yes,461875,Single,Lawyer,Low Spender,Low,37,1,0
Young Adult,No,Male,No,463804,Single,Healthcare,Low Spender,Low,23,4,
Young Adult,No,Female,No,466412,Single,Healthcare,Low Spender,Low,29,7,1
Young Adult,Yes,Male,No,460627,Married,Marketing,Top Spender,High,29,5,0
Middle-Aged,No,Male,Yes,459612,Single,Doctor,Low Spender,Low,42,3,3
Young Adult,Yes,Male,No,463460,Married,,Low Spender,Low,26,3,0
Senior,Yes,Male,Yes,460054,Married,Lawyer,Low Spender,Low,77,1,0
Middle-Aged,Yes,Male,No,466192,Married,Entertainment,Low Spender,Average,42,2,9
Middle-Aged,Yes,Female,No,462095,Married,Homemaker,Low Spender,Average,37,9,9
Young Adult,No,Male,Yes,462359,Single,Healthcare,Low Spender,Low,21,2,
Middle-Aged,No,Female,No,465133,Single,Engineer,Low Spender,Low,33,5,6
Middle-Aged,No,Male,No,462273,Single,Healthcare,Low Spender,Low,33,4,2
Young Adult,No,Male,Yes,459014,Single,Artist,Low Spender,Low,26,3,8
Middle-Aged,Yes,Male,Yes,462642,Married,Doctor,Top Spender,High,38,2,0
Senior,Yes,Male,Yes,460011,Married,Lawyer,Low Spender,Low,84,1,0
Senior,Yes,Male,Yes,464567,Married,Lawyer,Low Spender,Average,56,2,1
Middle-Aged,No,Male,Yes,460548,Single,Artist,Low Spender,Low,47,1,
Young Adult,No,Male,No,464704,Single,Healthcare,Low Spender,Low,19,3,0
Young Adult,No,Male,No,463211,Single,Entertainment,Low Spender,Low,28,,0
Middle-Aged,Yes,Male,Yes,466016,Married,Executive,Top Spender,High,49,3,0
Senior,Yes,Female,Yes,464707,Married,Artist,Low Spender,Average,51,2,2
Senior,Yes,Female,Yes,461664,Married,Artist,Top Spender,High,53,2,3
Young Adult,Yes,Female,Yes,466908,Married,Healthcare,Low Spender,Low,28,2,9
Young Adult,No,Female,No,460901,Single,Healthcare,Low Spender,Low,19,5,0
Senior,Yes,Female,No,465048,Married,Artist,Low Spender,Average,71,2,1
Senior,Yes,Male,Yes,459132,Married,Artist,Low Spender,Average,63,2,1
Senior,Yes,Male,No,464544,Married,Lawyer,Top Spender,High,72,3,9
Middle-Aged,Yes,Female,Yes,466450,Married,Artist,Low Spender,Low,40,2,2
Middle-Aged,Yes,Female,No,464882,Married,Engineer,Low Spender,Average,41,3,5
Young Adult,,Female,Yes,462464,Single,Artist,Low Spender,Low,27,5,
Senior,Yes,Female,Yes,467826,Married,Entertainment,Low Spender,Average,63,2,0
Young Adult,No,Male,No,465962,Single,Marketing,Low Spender,Low,27,3,
Middle-Aged,Yes,Female,Yes,462608,Married,Artist,Low Spender,Average,39,2,11
Middle-Aged,No,Female,Yes,461201,Single,Healthcare,Low Spender,Low,31,1,9
Middle-Aged,No,Male,No,461098,Single,Engineer,Low Spender,Low,30,,5
Young Adult,No,Female,No,459076,Single,Healthcare,Low Spender,Low,23,3,
Young Adult,No,Female,Yes,465011,Single,Healthcare,Low Spender,Low,26,,2
Senior,Yes,Female,Yes,467139,Married,Lawyer,Low Spender,Low,80,1,1
Middle-Aged,No,Female,Yes,461502,Single,Healthcare,Low Spender,Low,38,5,1
Young Adult,Yes,Male,No,462360,Married,Healthcare,Top Spender,High,21,2,8
Senior,Yes,Female,No,460690,Married,Engineer,Top Spender,High,53,2,1
Middle-Aged,Yes,Female,No,460872,Married,Artist,Low Spender,Low,37,4,6
Young Adult,No,Female,No,461528,Single,Healthcare,Low Spender,Low,18,4,1
Senior,Yes,Female,Yes,463116,Married,Artist,Low Spender,Average,58,3,2
Middle-Aged,No,Male,Yes,467851,Single,Artist,Low Spender,Low,40,1,9
Middle-Aged,Yes,Female,Yes,461244,Married,Artist,Low Spender,Average,41,4,1
Middle-Aged,No,Female,Yes,463041,Single,Artist,Low Spender,Low,39,1,1
Senior,Yes,Male,Yes,459333,Married,,Low Spender,Average,53,,1
Young Adult,No,Female,No,466785,Single,Marketing,Low Spender,Low,26,1,1
Middle-Aged,Yes,Male,Yes,463819,Married,Executive,Top Spender,High,31,4,8
Young Adult,No,Male,No,467958,Single,Healthcare,Low Spender,Low,18,5,0
Senior,Yes,Male,Yes,464187,Married,Doctor,Low Spender,Average,59,3,2
Senior,Yes,Male,Yes,466570,Married,Artist,Low Spender,Average,56,5,0
Middle-Aged,Yes,Male,Yes,465458,Married,Entertainment,Low Spender,Average,37,2,9
Middle-Aged,Yes,Male,Yes,459711,Married,Artist,Low Spender,Average,46,2,0
Senior,Yes,Male,Yes,463294,Married,Artist,Low Spender,Low,58,1,1
Senior,Yes,Female,Yes,462360,Married,Artist,Top Spender,High,65,3,0
Young Adult,Yes,Female,Yes,462456,Married,Marketing,Low Spender,Low,26,4,8
Senior,Yes,Female,Yes,461338,Married,Artist,Low Spender,Low,71,1,2
Middle-Aged,Yes,Male,Yes,463828,Married,Entertainment,Low Spender,Average,31,4,0
Middle-Aged,Yes,Female,Yes,461851,Married,Artist,Top Spender,High,37,2,0
Young Adult,No,Male,No,461335,Single,Marketing,Low Spender,Low,26,,9
Senior,Yes,Female,No,467560,Married,Lawyer,Low Spender,Low,73,1,1
Middle-Aged,Yes,Female,Yes,461831,Married,Artist,Top Spender,High,47,3,9
Senior,Yes,Male,Yes,466870,Married,Doctor,Low Spender,Average,61,4,0
Middle-Aged,Yes,Female,Yes,463872,Married,Artist,Low Spender,Average,49,2,
Senior,No,Male,Yes,461193,Single,Lawyer,Low Spender,Low,77,1,8
Senior,Yes,Male,No,461224,Married,Entertainment,Top Spender,High,69,2,
Young Adult,No,Female,No,465001,Single,Artist,Low Spender,Low,28,2,7
Young Adult,No,Female,No,462784,Single,Entertainment,Low Spender,Low,22,4,8
Middle-Aged,Yes,Male,Yes,463312,Married,Artist,Low Spender,Low,36,2,0
Young Adult,No,Male,No,461274,Single,Healthcare,Low Spender,Low,25,4,2
Senior,Yes,Male,Yes,467279,Married,Lawyer,Top Spender,High,86,2,0
Young Adult,Yes,Female,No,465602,Married,Homemaker,Low Spender,Average,28,2,1
Senior,Yes,Male,Yes,467735,Married,Artist,Top Spender,High,59,3,1
Middle-Aged,Yes,Female,Yes,463345,Married,Artist,Low Spender,Low,48,1,1
Middle-Aged,No,Female,No,465917,Single,Homemaker,Low Spender,Low,40,1,1
Senior,Yes,Male,Yes,462428,Married,Executive,Top Spender,High,67,9,1
Senior,Yes,Male,No,464519,Married,Executive,Low Spender,Low,68,4,1
Young Adult,No,Female,Yes,463070,Single,Artist,Low Spender,Low,27,3,8
Young Adult,No,Male,No,466893,Single,Healthcare,Low Spender,Low,23,3,0
Senior,Yes,Female,No,466928,Married,Artist,Low Spender,Average,56,2,9
Middle-Aged,Yes,Male,Yes,464771,Married,Doctor,Low Spender,Low,39,2,
Senior,No,Male,No,461337,Single,Lawyer,Low Spender,Low,83,3,0
Young Adult,No,Female,No,466823,Single,Entertainment,Low Spender,Low,29,3,0
Senior,Yes,Male,Yes,466258,Married,Doctor,Low Spender,Average,51,3,1
Middle-Aged,Yes,Female,Yes,465559,Married,Artist,Low Spender,Average,47,7,3
Middle-Aged,Yes,Male,Yes,465202,Married,Doctor,Low Spender,Average,35,2,1
Senior,,Male,Yes,466513,Single,Executive,Top Spender,High,52,4,9
Middle-Aged,Yes,Female,Yes,461251,Married,Marketing,Low Spender,Low,41,1,13
Senior,Yes,Female,Yes,464728,Married,Lawyer,Low Spender,Low,76,,0
Young Adult,Yes,Male,Yes,462595,Married,Executive,Low Spender,Average,26,2,1
Young Adult,No,Male,No,460249,Single,Healthcare,Low Spender,Low,20,3,1
Middle-Aged,Yes,Male,Yes,461144,Married,Artist,Low Spender,Average,47,4,7
Middle-Aged,No,Female,Yes,459443,Single,Artist,Low Spender,Low,30,1,9
Young Adult,No,Male,No,459008,Single,Healthcare,Low Spender,Low,25,5,0
Middle-Aged,Yes,Female,Yes,461718,Married,Artist,Low Spender,Average,42,4,0
Senior,Yes,Female,Yes,466152,Married,Engineer,Low Spender,Average,63,4,1
Senior,Yes,Male,Yes,465042,Married,Artist,Top Spender,High,53,3,1
Middle-Aged,Yes,Female,Yes,467252,Married,Engineer,Low Spender,Low,37,2,3
Middle-Aged,No,Female,Yes,465456,Single,Lawyer,Low Spender,Low,46,1,2
Senior,Yes,Female,No,467337,Married,Executive,Top Spender,High,79,2,9
Young Adult,No,Female,No,464448,Single,Healthcare,Low Spender,Low,22,4,
Senior,Yes,Male,Yes,460883,Married,Entertainment,Low Spender,Average,62,4,1
Middle-Aged,Yes,Male,Yes,460671,Married,Entertainment,Low Spender,Average,35,4,5
Middle-Aged,No,Male,No,462395,Single,Doctor,Low Spender,Low,35,2,13
Middle-Aged,Yes,Male,No,465928,Married,Entertainment,Low Spender,Average,41,6,
Middle-Aged,Yes,Male,Yes,464737,Married,Artist,Low Spender,Average,39,5,0
Senior,Yes,Male,Yes,465264,Married,Artist,Low Spender,Low,57,2,1
Middle-Aged,Yes,Female,Yes,460358,Married,Engineer,Low Spender,Average,46,4,6
Young Adult,No,Male,Yes,461177,Single,Doctor,Low Spender,Low,26,5,0
Senior,Yes,Male,Yes,467002,Married,Entertainment,Low Spender,Average,62,3,1
Middle-Aged,Yes,Male,Yes,464010,Married,Artist,Top Spender,High,49,2,0
Senior,Yes,Male,Yes,467964,Married,Artist,Low Spender,Average,62,2,0
Middle-Aged,No,Female,Yes,464627,Single,Engineer,Low Spender,Low,36,4,0
Middle-Aged,No,Male,Yes,467485,Single,Entertainment,Low Spender,Low,41,1,7
Senior,Yes,Male,No,462335,Married,Artist,Low Spender,Average,51,3,1
Middle-Aged,Yes,Male,No,462222,Married,Artist,Low Spender,Average,33,5,1
Young Adult,No,Male,No,462377,Single,Healthcare,Low Spender,Low,23,4,0
Middle-Aged,Yes,Male,Yes,463445,Married,Healthcare,Low Spender,Average,35,3,0
Senior,No,Female,Yes,467329,Single,Artist,Low Spender,Low,56,1,0
Young Adult,No,Female,No,465747,Single,Marketing,Low Spender,Low,25,1,1
Senior,Yes,Male,Yes,460110,Married,Homemaker,Low Spender,Low,68,3,9
Young Adult,No,Female,No,465017,Single,Entertainment,Low Spender,Low,25,7,0
Young Adult,No,Male,No,459140,Single,Healthcare,Low Spender,Low,18,2,1
Senior,Yes,Male,Yes,466519,Married,Artist,Low Spender,Average,52,4,1
Middle-Aged,Yes,Male,Yes,466708,Married,Healthcare,Low Spender,Average,35,4,8
Middle-Aged,Yes,Male,No,461805,Married,Artist,Low Spender,Low,41,2,0
Senior,Yes,Female,Yes,466752,Married,Homemaker,Low Spender,Low,61,2,1
Middle-Aged,Yes,Female,Yes,465808,Married,Artist,Low Spender,Low,45,2,0
Senior,Yes,Male,Yes,464821,Married,Artist,Low Spender,Average,69,4,5
Middle-Aged,No,Female,Yes,462478,Single,Entertainment,Low Spender,Low,37,2,1
Middle-Aged,No,Female,Yes,464096,Single,Engineer,Low Spender,Low,41,5,0
Young Adult,No,Male,No,464307,Single,Artist,Low Spender,Low,28,4,9
Young Adult,No,Male,Yes,462556,Single,Artist,Low Spender,Low,27,4,0
Middle-Aged,Yes,Male,Yes,467648,Married,Entertainment,Low Spender,Average,41,2,8
Middle-Aged,Yes,Female,Yes,459588,Married,Engineer,Top Spender,High,41,4,9
Young Adult,Yes,Male,Yes,462019,Married,,Low Spender,Average,29,4,9
Young Adult,No,Male,Yes,465351,Single,Healthcare,Low Spender,Low,25,3,7
Middle-Aged,Yes,Female,Yes,460737,Married,Homemaker,Low Spender,Average,38,2,9
Senior,Yes,Male,Yes,466972,Married,Artist,Low Spender,Low,81,1,9
Middle-Aged,No,Female,Yes,467601,Single,Artist,Low Spender,Low,38,1,0
Middle-Aged,Yes,Male,No,467924,Married,Artist,Low Spender,Average,35,3,
Young Adult,Yes,Female,No,463475,Married,Entertainment,Low Spender,Average,26,2,
Senior,Yes,Male,Yes,461310,Married,Artist,Low Spender,Average,51,4,1
Senior,Yes,Male,No,465115,Married,Lawyer,Top Spender,High,87,2,0
Senior,Yes,Male,Yes,465949,Married,Lawyer,Top Spender,High,73,2,
Senior,Yes,Female,No,461745,Married,Lawyer,Top Spender,High,89,2,0
Senior,Yes,Male,Yes,465216,Married,Artist,Top Spender,High,82,2,0
