District code,District name,State name,Age Group 0 29,Age Group 30 49,Age Group 50,Age not stated,Agricultural Workers,Below Primary Education,Buddhists,Christians,Condition of occupied census houses Dilapidated Households,Cultivator Workers,Female,Female Literate,Female SC,Female ST,Female Workers,Graduate Education,Having bathing facility Total Households,Having latrine facility within the premises Total Households,Higher Education,Hindus,Household size 1 person Households,Household size 1 to 2 persons,Household size 2 persons Households,Household size 3 persons Households,Household size 3 to 5 persons Households,Household size 4 persons Households,Household size 5 persons Households,Household size 6 8 persons Households,Household size 9 persons and above Households,Household Workers,Households,Households with Bicycle,Households with Car Jeep Van,Households with Computer,Households with Internet,Households with Radio Transistor,Households with Scooter Motorcycle Moped,Households with separate kitchen Cooking inside house,Households with Telephone Mobile Phone,Households with Telephone Mobile Phone Both,Households with Telephone Mobile Phone Landline only,Households with Telephone Mobile Phone Mobile only,Households with Television,Households with TV Computer Laptop Telephone mobile phone and Scooter Car,Housholds with Electric Lighting,Illiterate Education,Jains,Literate,Literate Education,Location of drinking water source Away Households,Location of drinking water source Near the premises Households,Location of drinking water source Within the premises Households,LPG or PNG Households,Main source of drinking water Handpump Tubewell Borewell Households,Main source of drinking water Other sources Households,Main source of drinking water River Canal Households,Main source of drinking water Spring Households,Main source of drinking water Tank Pond Lake Households,Main source of drinking water Tapwater Households,Main source of drinking water Tubewell Borehole Households,Main source of drinking water Un covered well Households,Main Workers,Main_source_of_drinking_water_Other_sources_Spring_River_Canal_Tank_Pond_Lake_Other_sources__Households,Male,Male Literate,Male SC,Male ST,Male Workers,Marginal Workers,Married couples 1 Households,Married couples 2 Households,Married couples 3 Households,Married couples 3 or more Households,Married couples 4 Households,Married couples None Households,Married_couples_5__Households,Middle Education,Muslims,Non Workers,Not having bathing facility within the premises Total Households,Not having latrine facility within the premises Alternative source Open Households,Other Education,Other Workers,Others Religions,Ownership Owned Households,Ownership Rented Households,Population,Power Parity Above Rs 545000,Power Parity Less than Rs 45000,Power Parity Rs 150000 240000,Power Parity Rs 150000 330000,Power Parity Rs 240000 330000,Power Parity Rs 330000 425000,Power Parity Rs 330000 545000,Power Parity Rs 425000 545000,Power Parity Rs 45000 150000,Power Parity Rs 45000 90000,Power Parity Rs 90000 150000,Primary Education,Religion Not Stated,Rural Households,SC,Secondary Education,Sikhs,ST,Total Education,Total Power Parity,Type of bathing facility Enclosure without roof Households,Type of fuel used for cooking Any other Households,Type of latrine facility Flush pour flush latrine connected to other system Households,Type of latrine facility Night soil disposed into open drain Households,Type of latrine facility Other latrine Households,Type of latrine facility Pit latrine Households,Urban Households,Workers
383,Dhenkanal,ORISSA,641697,326233,222398,2483,163636,188872,366,727,31143,71230,580218,365817,115324,81178,94981,43064,43089,51080,53162,1185542,9130,43001,33871,49097,176751,72187,55467,52484,6134,17312,352369,159449,3533,10600,1810,23281,36224,227629,98136,5886,3472,88778,66148,3383,117172,341887,39,829910,859997,127786,96086,54498,19846,97504,1722,9934,6084,1476,17395,62796,136741,277338,19216,612593,464093,118755,80878,340552,158195,214369,28592,3889,4631,584,30778,158,193395,4805,757278,235281,224403,10903,183355,139,263641,9666,1192811,21,373,129,240,111,17,45,28,655,453,202,238599,1069,315390,234079,132002,124,162056,1201884,1334,14258,1738,4784,262,2180,11379,36979,435533
384,Anugul,ORISSA,708493,347521,213517,4290,172414,180523,226,3383,32968,107607,618103,375031,118093,89623,165573,45588,57679,71436,58029,1258684,10894,45646,34752,52778,186197,77691,55728,56830,7249,35069,414587,185886,9449,15658,5564,23515,58323,234844,117477,10484,9779,97214,77495,7636,131916,347851,36,869456,899985,111814,110149,73959,27099,128273,4599,6080,4813,2418,41387,77490,100814,317547,17910,655718,494425,121459,89980,360947,208973,224560,31690,4112,4996,713,34676,171,204235,7512,747301,238243,220483,16602,211430,971,261580,24147,1273821,39,378,136,285,149,29,76,47,822,536,286,265782,2197,340410,239552,129226,812,179603,1247836,1600,10797,2287,5402,610,2806,10325,74177,526520
385,Nayagarh,ORISSA,502136,262086,196994,1573,120129,174904,33,383,27292,83022,460153,296029,66586,29518,59042,33148,30424,43798,36951,955754,6935,34000,27065,41202,151006,63815,45989,40150,5812,17557,288334,141578,2270,8278,1163,15421,24290,156951,88288,3300,3710,81278,50425,1529,124984,232558,24,688362,745059,71861,131308,27799,11159,109314,926,3326,720,929,32053,66154,74303,229076,5901,502636,392333,69813,29173,284591,114557,174854,29322,4341,5245,720,21547,184,177180,5278,619156,200544,184595,5685,122925,12,219723,7144,962789,7,306,101,181,80,8,20,12,470,345,125,227102,1198,261646,136399,90089,107,58691,977617,984,8525,8593,3974,457,1696,9005,26688,343633
386,Khordha,ORISSA,1199521,653346,391701,7105,116274,276378,475,12527,33554,92662,1084536,792421,145944,55957,146313,247498,230931,230413,177974,2147632,18058,62638,44580,84648,306708,128638,93422,96982,23308,39471,688729,325139,33514,75588,35701,87424,165342,402397,324544,36538,16692,271314,253754,56193,349860,371244,476,1749936,1945913,109546,149118,230972,160277,167624,4427,1916,445,3174,147354,102035,139440,632625,9962,1167137,957515,151528,59094,645880,159568,351892,63308,14040,18047,3203,56389,804,436534,84060,1459480,258705,250638,66645,543786,434,361364,102422,2251673,379,550,427,755,328,143,373,230,2127,1022,1105,445785,4805,331834,297472,295099,1264,115051,2317157,4186,42511,10000,12612,2878,6617,19341,356895,792193
387,Puri,ORISSA,888134,477430,328666,4500,163942,251520,243,4239,38498,172761,833350,587082,160767,2889,123215,87000,83906,87997,84374,1644905,8976,38807,29831,58018,231885,95123,78744,81794,16996,25115,474224,244309,4693,16006,3416,51221,57033,235879,178144,9678,7427,161039,118112,4984,201605,309790,94,1291939,1395194,126862,119440,123180,33331,277955,4911,9700,68,13210,34363,74251,25719,450536,27889,865380,704857,164366,3240,498461,171140,270707,51583,9651,12268,2037,34924,580,364098,46094,1077054,285576,276566,15511,259858,302,343935,17603,1698730,40,515,188,351,163,42,109,67,1010,663,347,413605,2660,402014,325133,179086,193,6129,1704984,2027,31744,10989,4875,868,2262,13021,72210,621676
388,Ganjam,ORISSA,1980232,924756,613249,10794,565448,518072,174,23975,65239,284943,1749813,947398,346124,59756,511745,97147,170397,215821,121151,3486059,29401,101398,71997,100085,429102,166690,162327,187270,39124,56274,1015394,369914,9066,41059,9049,47866,100866,622010,368877,18737,14496,335644,257515,15361,405298,1055331,170,2210050,2340777,255386,360704,140804,120191,318506,3421,17577,3510,11414,196326,172552,182877,900744,35922,1779218,1262652,342111,59172,990027,601028,529384,103539,23512,29241,4698,94730,1031,508511,13315,2027259,586497,529760,31266,595107,76,672524,74534,3529031,99,1066,396,753,357,97,255,158,2204,1419,785,767140,4672,795476,688235,297490,590,118928,3396108,4377,34086,6419,17371,6770,10100,27343,219918,1501772
389,Gajapati,ORISSA,345387,144043,85072,3315,153199,68405,2180,219482,7448,65062,294935,108874,20138,161812,138026,12556,21818,23322,17084,353160,6623,21096,14473,18351,69329,26757,24221,32974,5419,5370,175145,28704,656,5523,635,5245,8521,113338,34820,1942,1791,31087,23672,871,63112,335821,66,262537,268110,47598,68293,12927,12035,43514,263,3098,10657,555,27133,21718,38840,170371,14573,282882,153663,19037,151902,155907,123562,91784,13439,1791,2078,246,21517,41,54787,1556,283884,107000,103919,1882,70302,4,119272,7161,577817,9,193,68,106,38,10,26,16,286,198,88,76419,1316,152095,39175,36977,53,313714,603931,617,5507,159,1940,142,472,4720,23050,293933
390,Kandhamal,ORISSA,436625,177471,117777,1237,162932,108606,290,148895,11372,79221,373165,165886,58557,202314,161834,14962,16664,19176,21351,580300,9480,33600,24120,29073,92241,33620,29548,41443,4720,11946,242935,66979,1278,6609,768,24424,11947,146761,37068,3233,2556,31279,19477,1182,28736,287948,47,399786,450614,82502,72567,16935,6938,53314,3324,4276,19568,5038,8309,15761,72948,167112,32206,359945,233900,56987,190506,193515,188237,131279,11463,916,1065,119,28197,30,108773,2138,377761,155340,150913,2462,101250,23,156795,9613,733110,9,251,85,127,42,8,20,12,331,238,93,145604,1335,218446,115544,48856,82,392820,738562,739,5245,33,1652,310,593,3182,24489,355349
391,Baudh,ORISSA,253467,111571,75046,1078,104685,74205,5,522,5084,63657,219537,112964,52437,28002,93830,8124,8015,11585,12500,438152,5101,22123,17022,20298,63446,23738,19410,20867,1291,11674,137954,76760,755,3430,245,10610,7778,95521,24261,809,738,22714,13253,437,19191,146392,11,271612,293176,39663,59041,9023,3105,79403,294,1489,698,804,4637,13285,18855,123724,3285,221625,158648,52497,27362,125627,95733,86778,6809,451,534,70,13606,13,67549,1007,221705,99712,94643,1683,39441,7,101458,2371,441162,3,147,49,69,20,3,8,5,176,131,45,98316,1434,131377,104934,30799,24,55364,439568,405,2999,332,967,485,846,2787,6577,219457
392,Subarnapur,ORISSA,341561,153760,113450,1412,139413,86120,46,2374,10850,74005,298871,168028,76494,28398,105066,16745,13293,15651,25556,605225,6877,30195,23318,29834,93760,35926,28000,26722,1777,18756,193502,110604,1332,4289,708,8813,14201,139634,43134,1191,1512,40431,31103,885,50028,167244,17,398421,444510,65799,75638,11017,5168,119565,400,3204,812,1458,11679,25055,11125,170218,5874,311312,230393,79725,28794,181595,116443,125497,8398,501,571,56,17988,14,105846,1566,323522,139161,134594,4881,54487,6,142764,3769,610183,5,190,64,110,46,7,19,12,292,209,83,139994,891,176927,156219,65368,58,57192,611754,615,3557,1078,1112,220,583,1675,16575,286661
393,Balangir,ORISSA,904026,430011,310876,4084,326416,240180,467,16271,30207,166565,818900,381588,146421,174675,250645,42401,47324,65156,54694,1618175,18964,91349,72385,85353,262220,100978,75889,72258,6254,28650,538962,296141,4629,17274,3286,31836,43512,403589,125574,6469,6504,112601,83505,4457,123446,721389,2225,927260,985398,190253,204388,37440,21268,322278,2304,9042,451,4135,44064,110070,42270,402227,15932,830097,545672,148356,172489,469956,318374,350806,27298,2199,2615,333,51362,83,226728,7811,928396,384757,361251,6810,198970,141,404252,15465,1648997,23,472,167,272,105,27,71,44,750,513,237,298288,3342,476770,294777,116297,565,347164,1706787,1588,11433,1273,4640,1024,2455,11420,62192,720601
394,Nuapada,ORISSA,344075,152681,112325,1301,149834,64389,76,1778,7854,94692,308420,118480,41417,105858,137283,10131,15564,23219,19577,601092,6701,33755,27054,30196,94057,35145,28716,29939,2196,8641,209127,107595,1346,4221,757,16882,12482,150673,38600,1055,1254,36291,21975,1029,43976,316086,905,299383,338480,61742,86403,11802,6414,123116,250,5110,1195,770,16217,19366,11382,151694,7325,301962,180903,40742,100469,168155,153744,128333,11864,897,1013,95,18737,21,73787,4952,304944,144383,135433,4316,52271,22,152129,3851,610382,2,52,18,42,24,2,3,1,106,78,28,114394,833,197258,82159,51886,724,206327,654566,205,5031,75,4599,189,585,5461,11869,305438
395,Kalahandi,ORISSA,880160,415778,275533,5398,436733,213426,175,11160,37486,144991,789768,317859,144447,228285,304640,27385,43839,47442,40383,1555367,19666,94732,75066,80742,238726,89124,68860,66964,4392,18453,494748,226852,3547,12622,1953,36291,34156,385893,95057,3527,3469,88061,58571,2825,91171,765368,1225,802036,780451,161883,208591,34340,17610,332445,762,10592,6036,1580,19264,71395,27010,376757,18970,787101,484177,142133,221171,447290,375173,330517,22551,1204,1364,134,50382,26,172905,4975,824939,360975,354265,6840,151753,220,382053,10876,1576869,15,498,170,274,104,18,48,30,727,520,207,225468,2951,456336,286580,94044,796,449456,1545819,1562,14571,412,3720,1060,2663,9306,38412,751930
396,Rayagada,ORISSA,577569,245766,140825,3751,248175,84956,249,84916,12391,99265,495951,165776,71446,282865,209090,17681,38841,33500,21439,874445,13929,45359,31430,36916,124357,47122,40319,50421,5827,9959,286548,80566,2090,9166,1553,11774,19440,206721,56834,5146,3016,48672,42998,2465,61543,583140,123,407735,346980,74441,125025,26498,24924,147814,1016,4451,13711,645,41952,53070,12832,227815,19823,471960,241959,68068,259040,258032,239307,166387,17042,1555,1749,162,40786,32,73210,4607,500789,187123,189115,6306,109723,44,201492,17683,967911,15,290,104,186,82,21,55,34,528,356,172,97387,3308,237343,139514,46001,219,541905,930120,1074,11099,56,2112,415,1138,2698,49205,467122
397,Nabarangapur,ORISSA,745206,297552,171761,6427,328783,116468,189,32152,12035,173086,616134,183395,89132,346145,268265,11198,30611,25523,16463,1178005,12160,51778,39618,43812,145698,52532,49354,67982,8205,14409,372264,166031,2030,8128,1324,46942,21081,237209,56803,2036,4208,50559,23582,1187,34570,739190,325,470379,442532,93053,160324,20286,9347,225376,785,2359,4218,964,15353,53963,21714,279115,8326,604812,286984,88252,335028,342641,331791,204117,31233,2726,3094,313,35219,55,95988,6753,610040,243052,243791,2282,94628,54,255118,8004,1220946,5,412,143,160,17,11,29,18,429,329,100,155611,3299,342840,177384,44522,169,681173,1181722,1035,15344,1631,1421,874,1306,5957,29424,610906
398,Koraput,ORISSA,818578,348803,207206,5060,290626,158847,219,68550,18233,207194,700838,227247,99751,360210,309353,29000,74594,58682,32257,1294151,24598,81466,56868,56195,183550,68441,58914,67257,5932,14416,460128,112569,6922,17294,3988,36148,37192,295520,87649,9936,4832,72881,60021,6604,85766,770707,491,568090,547812,119374,172539,46292,39631,203233,752,7286,30968,1783,53017,74178,34361,396460,40789,678809,340843,96789,337373,384053,296946,254148,26944,2145,2437,245,54676,47,98266,8850,686241,263611,275191,10200,181170,3384,294487,30413,1379647,35,437,162,244,82,35,92,57,712,458,254,158653,3484,381789,196540,60589,518,697583,1318519,1519,25196,1519,4727,768,1677,4410,78339,693406
399,Malkangiri,ORISSA,381913,146355,83284,1640,106353,60913,43,10039,10287,151260,309568,97705,68243,182897,140171,5585,14559,12839,8487,600219,6373,23610,17237,21796,76786,28031,26959,34167,2887,7725,183723,62048,820,3908,448,18860,10535,113176,26853,982,766,25105,16397,578,24604,390356,195,244706,204863,50855,78733,7862,4738,109087,488,1826,9717,913,8613,15899,5834,179030,12944,303624,147001,70052,171717,170495,131636,104884,12404,857,932,65,19230,10,44962,1871,302526,122891,122843,1202,45328,35,128850,5901,613192,5,176,59,101,42,6,16,10,267,192,75,64683,577,167884,138295,19031,213,354614,595219,564,6539,36,630,122,502,1144,15839,310666
400,Koriya,CHHATTISGARH,399581,165022,94073,241,94648,143413,84,9398,2956,118498,324180,167900,27094,151621,121588,26802,38370,35636,38677,604259,9604,31952,22348,23034,81771,30622,28115,34136,4216,4830,181615,67318,3402,7609,1667,19360,26365,147705,50432,2753,2414,45265,38765,3527,80023,179639,1155,397823,457761,45311,67765,38999,25605,64425,2097,4006,3648,1257,36605,2198,37447,173057,11008,334737,229923,27682,152659,185483,134014,111220,16253,2167,2572,323,22030,82,87969,25878,351846,113705,115096,4134,89095,15474,124298,17842,658917,38,146,53,81,28,22,59,37,529,293,236,109639,1278,121852,54776,47127,1391,304280,637400,852,10138,51,2515,581,623,2323,59763,307071
401,Surguja,CHHATTISGARH,1441436,561915,355077,1458,523356,364452,1287,97432,10854,465287,1166757,493255,57371,647829,505919,64607,59109,130736,105992,2126195,26048,100529,74481,71885,270986,99309,99792,135326,13725,12643,590763,277773,8096,18983,2737,62468,56480,509518,118767,5868,4330,108569,74614,6399,253131,991866,623,1187941,1299718,191705,253795,75066,29433,297286,11539,14757,6470,1964,36922,21245,145838,622589,34730,1193129,694686,58281,652799,649888,533218,383510,70257,8651,10044,1167,56755,226,281260,81442,1204079,461457,387919,9524,154521,48295,492651,18701,2359886,36,530,159,181,22,17,45,28,1671,946,725,338509,2309,525596,115652,135374,2303,1300628,2291584,2462,22302,169,15125,218,754,52314,65167,1155807
402,Jashpur,CHHATTISGARH,488965,214455,148100,149,197558,120768,467,189588,3260,226866,426922,214759,24527,267647,223715,26161,13683,27142,50562,629509,9440,34107,24667,26333,99333,36438,36562,50726,6361,7553,226392,100725,2442,5755,567,12309,15547,187151,35940,1575,1633,32732,20512,1252,76783,328438,694,495415,529825,65994,106704,17829,6628,128661,1482,1722,4452,299,7961,1360,44318,291349,7955,424747,280656,24317,262731,263645,196011,136893,26950,3115,3619,419,23065,85,127299,15336,364309,176844,162511,3166,55383,14835,179774,7347,851669,11,196,46,51,5,4,11,7,588,342,246,137681,766,205670,48844,64188,474,530378,858263,856,4741,145,4012,131,300,6538,20722,487360
403,Raigarh,CHHATTISGARH,841958,398257,253488,281,323788,246480,781,47653,16465,208313,743706,408883,112831,255136,260956,66358,50603,69909,93340,1422986,26345,85832,59487,57004,200941,79603,64334,67366,7525,9959,420916,225249,5979,13857,3342,29814,50302,337072,96724,5312,5270,86142,98784,6693,297308,460166,409,951639,1017307,83047,220996,57621,27771,253248,1172,2129,946,1784,71114,59354,29740,484875,6031,750278,542756,112111,250473,429211,205292,270070,35329,4922,5825,713,50440,190,210964,17332,803817,311061,289948,8804,148107,1782,331942,19805,1493984,45,325,82,109,27,21,55,34,1040,594,446,260661,924,354278,224942,130700,2117,505609,1477473,1575,14694,109,3798,336,608,8517,66638,690167
404,Korba,CHHATTISGARH,729708,309479,166959,494,221806,178191,897,21059,7336,113071,593725,315368,61233,247236,187857,61215,67505,77854,83166,1133176,17260,55218,37958,42526,153186,58842,51818,61531,7136,7899,332653,162148,8677,18004,4544,23166,55579,263439,90312,6042,4118,80152,95963,11842,202380,410186,753,748759,780221,70494,134931,71646,43357,144571,1981,4649,1835,941,59627,12483,58597,350314,9406,612915,433391,63446,246323,333329,170872,208797,26348,3799,4509,590,37417,120,168387,30195,685454,209566,198157,11792,178410,15649,232642,29297,1206640,75,246,101,164,63,54,142,88,937,521,416,188303,1245,206598,124679,89167,3666,493559,1190407,1565,16060,64,3479,222,757,6204,126055,521186
405,Janjgir - Champa,CHHATTISGARH,975114,383172,260898,523,402359,257020,556,2926,20404,281266,803990,425955,198275,94010,368188,58712,39301,57417,127543,1597089,24396,73152,48756,48976,193218,73296,70946,94277,16849,15828,440773,225754,3976,10833,1706,24557,42565,339072,109908,2733,4361,102814,126788,3756,339090,587734,707,1019634,1086541,90561,228474,58461,19129,303365,377,453,43,387,51202,29310,19332,461887,1260,815717,593679,199633,93186,478278,384579,279193,38570,7634,9606,1563,50127,409,241761,14173,773241,338195,318557,7630,147013,2220,358081,9560,1619707,33,345,73,98,25,21,55,34,1051,622,429,241692,1401,379583,397908,152183,635,187196,1674275,1581,11934,174,3078,222,452,6098,61190,846466
406,Bilaspur,CHHATTISGARH,1625484,655032,380114,2999,572292,382091,2979,20745,29106,276691,1312055,664086,271771,250297,487730,134637,135945,171271,152838,2540763,36885,121345,84460,88162,321189,118976,114051,148587,24774,21658,737806,345789,13137,30892,8566,92443,84851,586579,177334,10847,9398,157089,193337,17978,519704,943112,2357,1596560,1624001,162050,310140,143705,77727,385255,2324,3051,843,1331,152156,41286,67248,826568,7549,1351574,932474,281221,248172,715467,376629,464063,57480,10850,13773,2306,80579,617,337793,57973,1460432,479950,434298,19654,332556,29122,561313,37623,2663629,195,477,232,314,82,75,174,99,1822,952,870,407692,3317,549632,552992,189296,6373,498469,2567113,2981,37903,190,23576,398,806,19021,188174,1203197
407,Kabeerdham,CHHATTISGARH,515971,198517,107854,184,185850,126806,433,980,10808,167662,410468,165664,59644,84446,187083,16671,18081,23347,28074,776013,9707,34051,24344,22039,89271,32306,34926,44988,8448,3046,211179,96973,1496,2962,682,14622,17444,169558,42291,995,1367,39929,36347,1001,150649,376852,1167,414167,418867,44266,109516,22976,6375,136556,235,1219,1046,584,23473,10357,12707,316976,3084,412058,248503,60154,82597,217073,87180,129783,21025,4766,5860,875,20090,219,84147,12206,418370,158677,153218,1679,47598,30222,169437,3587,822526,12,166,6,14,8,6,16,10,415,270,145,123840,581,187311,119798,37650,924,167043,795719,622,6748,30,1164,112,156,3988,23868,404156
408,Rajnandgaon,CHHATTISGARH,898915,404418,233068,732,290108,263447,28541,5193,10125,342116,774278,447024,79644,207162,363481,51698,59145,78798,82141,1399658,17253,48994,31741,35324,161416,59678,66414,84526,20599,10847,390132,225710,4613,11790,2111,32445,44532,302710,102053,7307,7304,87442,106198,5396,275501,467554,8187,1008379,1062864,65582,195763,54190,26486,212476,723,395,263,105,72754,13715,26347,595959,1486,762855,561355,76979,198032,436611,204133,209641,50734,12321,15695,2633,39465,741,267653,23648,737041,256390,231580,5340,157021,67444,291162,14873,1537133,52,334,68,108,40,34,89,55,1051,624,427,287436,701,313604,156623,105149,3761,405194,1530418,1633,19571,111,10262,174,359,19599,76528,800092
409,Durg,CHHATTISGARH,1919832,898241,523656,2143,560415,463598,19587,24304,27306,392341,1661771,1018766,228973,201408,575076,202424,235446,228551,286244,3129745,34096,103268,69172,82012,375703,148385,145306,172192,41838,22565,883189,489008,28840,51289,16141,89110,177048,663000,315664,27295,16940,271429,343369,36672,614109,823501,17209,2303378,2363288,139609,373891,179501,129193,412665,1063,971,154,925,248578,73761,24867,1206793,3113,1682101,1284612,229067,196008,921729,290012,473520,106165,27076,33807,5370,79509,1361,497668,83499,1847067,457555,439014,30555,521484,42569,582952,74863,3343872,266,649,233,406,173,135,354,219,2533,1369,1164,573291,2683,533448,458040,309508,24276,397416,3186789,4209,50430,2034,8296,662,1093,14038,349741,1496805
410,Raipur,CHHATTISGARH,2454299,1038155,560184,11234,708993,618508,8397,23181,42010,383279,2015686,1136591,361966,241175,657700,227382,259502,267090,267265,3881485,42202,142329,100127,114073,462395,175768,172554,209786,46557,34078,1068500,549069,30572,59523,20261,114738,177517,803533,340237,25785,18806,295646,378113,39381,728556,1247434,17137,2629749,2674728,205131,448306,207630,166505,564507,2443,2863,369,1382,228246,97810,53362,1259138,7057,2048186,1493158,362284,235271,1099964,498526,623870,105412,24592,31521,5280,100264,1649,552373,103038,2306208,601565,570783,31483,631314,10680,739497,86940,4063872,320,716,263,424,161,131,326,195,2775,1465,1310,664470,3247,673499,724250,313247,16707,476446,3922162,4561,49829,1462,9623,1331,2198,16080,395001,1757664
411,Mahasamund,CHHATTISGARH,582544,272009,177826,375,278073,179770,521,5284,11751,139199,520787,273874,70613,142557,207402,33357,26449,48150,57949,1008061,16490,55394,38904,37513,143728,58094,48121,50550,6832,6135,310567,175231,3546,5614,961,13649,31472,238810,65540,1915,2205,61420,68012,2279,212487,384764,1495,637963,702532,65170,162045,29289,13200,204391,158,404,207,341,32733,15861,16604,340802,1110,511967,364089,68968,137339,291858,158458,190249,27994,4433,5334,709,32927,192,152183,12570,533494,230055,207899,5951,75853,1417,241908,7773,1032754,20,232,14,31,17,14,37,23,642,404,238,194739,465,274793,139581,78583,2941,279896,1087296,964,8694,52,5650,114,256,9931,35774,499260
412,Dhamtari,CHHATTISGARH,461125,213021,125429,206,182602,143128,667,2644,6857,135435,401884,242909,29694,105575,176513,31319,29042,50033,58875,777188,9725,27166,17441,19469,92059,35418,37172,40160,8893,7310,210481,119931,3069,4804,1016,14229,30621,161955,55660,3257,2391,50012,67737,2686,148926,214637,3612,546833,572304,30830,100179,37269,14568,97921,224,212,49,127,52879,12167,14745,335368,612,397897,303924,28887,102058,226382,67527,113655,24428,5772,7166,1096,23029,298,120146,10425,396886,139236,114644,5096,77548,3685,156006,6283,799781,26,198,12,29,17,13,34,21,496,322,174,148544,364,168689,58581,65196,1196,207633,786941,782,8434,58,5467,33,172,8235,41792,402895
413,Uttar Bastar Kanker,CHHATTISGARH,437598,197603,113450,290,129142,135206,2213,4007,4755,194018,375603,197744,15961,210836,171846,21410,21153,31240,43956,627460,7731,23653,15922,20661,86417,33243,32513,41924,6190,7811,194069,111429,1932,4084,579,16404,19503,150411,36065,2129,1642,32294,37017,1317,110208,243039,1071,456042,474799,43068,93398,21718,7736,123595,384,920,1213,59,17399,7370,13352,285536,2576,373338,258298,15582,203934,217513,103823,108477,23395,3042,3538,415,22774,81,100674,6040,359582,137031,126559,1658,58388,105869,148368,6424,748941,9,176,33,38,5,4,11,7,513,305,208,124893,1729,169191,31543,47002,552,414770,717838,748,6984,31,2267,16,105,3846,24878,389359
414,Bastar,CHHATTISGARH,864272,358157,189569,1201,287828,183667,985,27951,10134,284472,714712,268528,19148,474939,322167,32895,48350,62326,57413,1277975,14805,54310,39505,45757,161211,58138,57316,81784,9502,10821,371319,192012,4227,9042,1782,37956,32802,296904,58619,4160,2574,51885,50155,4002,157646,729550,3466,650863,656234,109749,161593,35465,22075,216583,1010,4833,11191,1002,49120,4335,20384,394824,18036,698487,382335,18815,456841,404364,331707,222252,35222,3347,3836,407,45497,82,139330,12413,686668,258457,242886,3227,143410,86925,287405,13252,1413199,36,353,47,69,22,17,44,27,1028,622,406,178766,1385,316425,37963,60936,2099,931780,1385784,1529,19951,66,5632,136,213,16417,54894,726531
415,Narayanpur,CHHATTISGARH,91338,33956,14367,159,13820,16980,71,600,1097,44389,69716,23172,2461,54643,32903,2216,3354,2892,4488,129161,1210,3846,2636,3486,13023,4609,4928,8721,1363,939,33095,14813,196,589,86,4074,1976,25089,4069,277,180,3612,4126,134,9316,78331,409,56621,53657,13377,11207,2369,1384,16486,256,1849,1569,417,4432,148,1675,42056,4091,70104,33449,2518,53518,38186,29033,19321,3016,322,383,51,4233,10,9513,776,68731,23599,24041,268,11941,8542,25063,1406,139820,40,293,71,94,23,19,49,30,911,528,383,16034,165,26916,4979,4158,96,108161,131988,1387,1269,7,222,5,22,56,6179,71089
416,Dakshin Bastar Dantewada,CHHATTISGARH,334987,140188,58170,293,69385,40079,352,4888,3603,165389,269496,74708,6348,210524,133301,11197,19687,17471,16905,513915,6956,22983,16027,18825,60725,22171,19729,27381,2978,2310,137849,32802,1827,3879,955,10364,10771,104705,21606,2462,930,18214,16799,1719,43608,336963,1044,191237,152961,41439,60332,12296,10406,87135,859,2694,4361,324,14034,1102,4180,184285,8238,264142,116529,6648,199731,153294,102310,80812,10678,920,1076,126,21501,30,27720,6437,247043,94380,95758,1372,49511,6071,102257,9264,533638,9,182,79,87,8,7,19,12,613,334,279,39023,474,106545,12996,16665,457,410255,489924,909,7290,41,883,157,175,763,31304,286595
417,Bijapur,CHHATTISGARH,167348,63802,23927,153,49859,25597,1649,2709,2072,66504,126567,32843,4977,102670,62934,3421,7780,2843,6755,245151,2429,8837,6408,7852,25936,9267,8817,13973,1656,1399,58391,16830,305,1462,117,6766,2625,44058,5033,501,513,4019,4215,156,12516,163278,15,86919,80069,21902,26040,2460,1022,41215,311,2696,843,255,1982,230,2888,69338,4105,128663,54076,5145,101519,71591,65187,35090,4836,435,506,63,9970,8,14170,1617,120705,42622,47037,147,16763,3793,47682,1846,255230,40,293,71,94,23,19,49,30,911,528,383,22787,228,50449,10122,7192,68,204189,243347,1387,5689,29,213,33,52,506,7942,134525
418,Sheopur,MADHYA PRADESH,449974,155063,82416,408,115261,90911,201,230,7284,106745,326077,119824,50553,78811,93667,17091,38510,18710,24732,638702,6713,25063,18350,18090,72633,25892,28651,41950,5102,4166,176522,32178,1634,5393,273,12553,17878,114253,57366,1332,1471,54563,29266,698,74770,393141,379,328025,285152,48714,75897,20137,11701,112074,70,1562,96,55,20123,9277,10239,196189,1783,361784,208201,57838,82637,183788,81266,111135,15868,2663,3212,452,14533,97,43009,41396,410406,106238,125248,1497,51283,40,138428,5214,687861,16,156,10,24,14,12,32,20,463,289,174,70840,526,150146,108391,37072,6387,161448,678293,693,24008,19,920,1554,1686,1698,26376,277455
